"H",10,20230101132154,batch1
"I",2023-01-01 14:32:34.000,1,"Davidde","Legier","dlegier0@mail.ru","Agender","Editor",86.5
"I",2023-01-01 14:32:34.000,2,"Panchito","Scirman","pscirman1@kickstarter.com","Male","Junior Executive",36.18
"I",2023-01-01 14:32:34.000,3,"Chic","Ickowics","cickowics2@booking.com","Male","Research Associate",35.54
"I",2023-01-01 14:32:34.000,4,"Pascale","Jedrzaszkiewicz","pjedrzaszkiewicz3@auda.org.au","Male","Safety Technician IV",73.21
"I",2023-01-01 14:32:34.000,5,"Sara","Whiterod","swhiterod4@hhs.gov","Female","Assistant Manager",47.85
"I",2023-01-01 14:32:34.000,6,"Mariska","Antrum","mantrum5@nytimes.com","Female","Tax Accountant",16.37
"I",2023-01-01 14:32:34.000,7,"Ingemar","Petrus","ipetrus6@blogspot.com","Male","Chief Design Engineer",49.02
"I",2023-01-01 14:32:34.000,8,"Anstice","Hollingdale","ahollingdale7@yahoo.co.jp","Female","Cost Accountant",21.94
"I",2023-01-01 14:32:34.000,9,"Chaunce","Holdforth","choldforth8@ca.gov","Non-binary","Chief Design Engineer",72.0
"I",2023-01-01 14:32:34.000,10,"Blinni","Fenty","bfenty9@paginegialle.it","Female","Assistant Media Planner",38.98
"F",test,20230101133443
